CAMP,RB00,RB01,RB02,RB03,RB04,RB05,PB,PG,RB06,RB07,RB08,RB09,RB10,RB11,RB12
C01,14,4,1,0,0,0,0,0,0,1,0,0,1,0,2
C02,26,22,3,0,0,2,35,4,0,0,0,0,0,6,0
C03,14,12,1,0,0,3,12,5,0,3,0,0,7,0,0
C04,29,24,1,0,1,2,49,4,0,3,0,1,11,0,0
C05,3,9,1,0,0,0,15,0,0,3,0,0,12,0,0
C06,12,24,1,0,0,0,6,0,0,0,1,0,0,3,0
C07,92,125,14,0,0,0,71,37,0,0,0,1,1,5,0
C08,160,69,11,0,16,8,181,4,0,13,0,2,12,10,0
C09,188,130,12,0,0,16,83,52,6,44,2,3,18,22,0
C10,48,73,20,1,18,89,95,31,5,49,1,16,16,50,0
C11,53,33,17,2,6,48,65,32,17,70,11,13,56,71,0
C12,57,23,18,2,10,52,116,35,5,50,6,12,58,63,0
C13,17,4,8,0,8,3,33,6,2,10,2,16,35,18,0
C14,13,4,4,0,3,0,17,2,0,8,1,1,4,16,0
C15,5,3,1,0,0,1,5,3,0,3,1,0,1,0,0
C16,4,0,3,0,0,0,6,3,0,3,0,2,2,1,0
C17,3,9,2,0,0,2,0,0,0,5,0,4,6,3,0
C18,19,40,19,1,2,1,0,0,0,4,0,4,30,5,0
C19,8,5,5,0,0,1,0,0,0,7,0,0,16,4,0
C20,8,3,7,0,1,0,0,0,1,4,0,1,14,12,0
C21,36,15,30,0,0,0,0,0,0,4,0,0,8,6,0
C22,168,81,92,1,0,0,0,0,2,10,3,8,42,28,0
C23,74,19,24,0,0,8,0,0,6,28,3,14,72,70,0
C24,114,86,35,0,0,0,0,0,3,22,13,14,88,32,0
